City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
akom,2.67,12.71,66.69,99,100,4.27,CM,1601166479
mar del plata,-38.0,-57.56,54.0,100,90,9.17,AR,1601166415
bambous virieux,-20.34,57.76,68.0,88,75,3.36,MU,1601166480
port alfred,-33.59,26.89,52.95,63,0,15.99,ZA,1601166210
nikolskoye,59.7,30.79,55.0,87,10,8.95,RU,1601166480
ushuaia,-54.8,-68.3,35.6,89,40,16.11,AR,1601166400
rocha,-34.48,-54.33,60.04,97,100,5.97,UY,1601166256
thompson,55.74,-97.86,51.8,76,75,5.82,CA,1601166480
udachnyy,66.42,112.4,30.2,100,90,8.95,RU,1601166481
jamestown,42.1,-79.24,66.99,77,1,5.82,US,1601166268
avarua,-21.21,-159.78,73.4,78,60,6.93,CK,1601166481
lagoa,39.05,-27.98,69.48,84,0,15.59,PT,1601166481
manado,1.49,124.85,82.4,74,20,1.12,ID,1601166443
quatre cocos,-20.21,57.76,68.0,88,75,3.36,MU,1601166482
bograd,54.23,90.83,32.0,88,40,2.59,RU,1601166482
kiama,-34.68,150.87,59.0,46,75,9.17,AU,1601166482
rikitea,-23.12,-134.97,74.55,83,0,14.25,PF,1601166482
sault sainte marie,46.52,-84.33,66.2,88,90,3.36,CA,1601166235
kodiak,57.79,-152.41,51.8,76,20,8.05,US,1601166483
empangeni,-28.76,31.89,60.21,78,100,4.88,ZA,1601166483
barrow,71.29,-156.79,32.0,96,90,11.41,US,1601166483
akyab,20.15,92.9,80.15,86,75,7.18,MM,1601166484
viedma,-40.81,-63.0,57.33,71,100,9.01,AR,1601166484
kaitangata,-46.28,169.85,51.01,62,100,28.01,NZ,1601166223
punta arenas,-53.15,-70.92,39.2,74,75,6.93,CL,1601166484
kisangani,0.52,25.2,70.27,96,75,2.1,CD,1601166333
longyearbyen,78.22,15.64,28.4,79,75,5.82,SJ,1601166485
khatanga,71.97,102.5,41.58,88,100,19.33,RU,1601166229
cape town,-33.93,18.42,46.4,93,40,4.7,ZA,1601166485
cidreira,-30.18,-50.21,64.54,94,96,18.84,BR,1601166485
